"Designator","Value","Suggested MPN","Purpose","Review status"
"C1-C8,CFLASH,CULS,CULD,CRESET,CBATADC","100 nF X7R","Murata GRM155R71C104KA88D","RP2040/peripheral decoupling and ADC settle","Place at owning pin; CBATADC firmware settle time required"
"CVREG,CADC","1 uF X7R","Murata GRM155R60J105KE19D","RP2040 VREG/ADC supply","Follow RP2040 hardware guide"
"CX1,CX2","12 pF C0G","Murata GRM1555C1H120JA01D","12 MHz crystal load","Recalculate including stray capacitance"
"CIN1","1 uF X7R","Murata GRM155R61A105KE15D","BQ24074 input","Verify effective bias capacitance"
"CBAT1,COUT1","4.7 uF X7R","Murata GRM188R61A475KE15D","BQ24074 BAT/OUT","Verify reference circuit and load transient"
"CBBIN,CBBOUT","10 uF / 22 uF X7R","Murata GRM21BR61A106KE19L / GRM21BR60J226ME39L","TPS63802 input/output","Meet effective-capacitance minimum under bias"
"CLCDIN,CLCDO1,CLCDO2","4.7 uF / 10 uF / 10 uF X7R","Murata GRM188R61A475KE15D / GRM21BR61A106KE19L","TPS61023 input/output","Keep switching loop compact"
"CGIN,CGOUT","1 uF / 4.7 uF X7R","Murata GRM155R60J105KE19D / GRM188R61A475KE15D","GNSS load switch","Verify GP-02 transient"
"RUSB1,RUSB2","27 ohm 1%","Yageo RC0402FR-0727RL","RP2040 USB required series resistors","Place at MCU and route differential pair"
"RISET","2.20 kΩ 1%","Yageo RC0402FR-072K2L","BQ24074 ~404 mA fast-charge set","Must not exceed frozen cell rating"
"RILIM","2.00 kΩ 1%","Yageo RC0402FR-072KL","BQ24074 programmable limit fallback","USB500 selected by EN pins; verify state"
"RITERM","3.30 kΩ 1%","Yageo RC0402FR-073K3L","BQ24074 termination","Verify against frozen cell/RISET"
"RTMR","48.7 kΩ 1%","Yageo RC0402FR-0748K7L","BQ24074 safety timer","Verify desired precharge/fast-charge timeout"
"RBB1,RBB2","511 kΩ / 91 kΩ 1%","Yageo RC0402FR-07511KL / RC0402FR-0791KL","TPS63802 3.3 V feedback","TI 3.3 V typical circuit values"
"RLCD1,RLCD2","732 kΩ / 100 kΩ 1%","Yageo RC0402FR-07732KL / RC0402FR-07100KL","TPS61023 ~5 V feedback","Verify tolerance and output under load"
"RSTART,REN,RBATG","1 MΩ","Yageo RC0402FR-071ML","Latch/sense off-state bias","Include tolerance and contamination in leakage test"
"RBAT1,RBAT2","100 kΩ / 100 kΩ 1%","Yageo RC0402FR-07100KL","Switched 2:1 battery divider","Calibrate with ADC settle capacitor"
"RVB1,RVB2","150 kΩ / 100 kΩ 1%","Yageo RC0402FR-07150KL / RC0402FR-07100KL","VBUS-present divider","Verify GPIO threshold and no backfeed"
"RVO1,RVO2","4.7 kΩ / 560 Ω","Yageo RC0402FR-074K7L / RC0402FR-07560RL","Fixed LCD contrast start point","Adjust after exact LCD sample"
"RBL","68 Ω 0603","Yageo RC0603FR-0768RL","Safe-start external backlight limit","Change only after module resistor/current measurement"
"RCHG","1 kΩ","Yageo RC0402FR-071KL","CHG_N pull-up/status LED path","Verify LED implementation"
"RLOC,ROFF,RRESET,RGNSSEN,RLCDEN","100 kΩ","Yageo RC0402FR-07100KL","Deterministic reset/off pulls","Verify reset defaults"
"D2,D3,D4","BAT54-series Schottky","Nexperia BAT54H","VBUS/start/LOCATE enable OR isolation","Verify polarity and leakage over temperature"
